"","Донцова 2002 Букет прекрасных дам","Донцова 1999 Дама с коготками","Донцова 2008 Инь, янь и всякая дрянь","Донцова 2012 Клеопатра с парашютом","Донцова 2001 Созвездие жадных псов","Донцова 2003 Микстура от косоглазия","Донцова 2000 Бассейн с крокодилами","Донцова 2000 Спят усталые игрушки","Донцова 2005 Муха в самолёте","Донцова 2006 Безумная кепка Мономаха","Донцова 2007 Зимнее лето весны","Донцова 2017 Астральное тело холостяка","Донцова 2009 Император деревни Гадюкино","Донцова 2010 Страстная ночь в зоопарке","Донцова 2022 Бегемот под майонезом","Донцова 2015 Шуры муры с призраком","Донцова 2011 Тормоза для блудного мужа","Донцова 2019 Бинокль для всевидящего ока","Донцова 2014 Самовар с шампанским","Донцова 2019 Гиблое место в ипотеку"
"Донцова 2002 Букет прекрасных дам",0,1.11644874712375,1.05441234230612,1.17376817488712,0.94378957285835,0.959632250843115,1.04513610374346,1.04385711197494,1.04973662703578,1.07618022014114,1.13961223757285,1.13548290337793,1.19544706247834,1.18663252736946,1.38078349785208,1.2768366585253,1.22632413179355,1.2997533570469,1.15321917899167,1.23553892967791
"Донцова 1999 Дама с коготками",1.11644874712375,0,1.12915667037346,1.19969860163591,0.972266241344565,1.14707380867646,0.798289066803048,0.853889103766825,1.23636160189732,1.2180024673668,1.24308833285283,1.29393847064119,1.24181199184813,1.24242618605182,1.4130875214569,1.30072384403907,1.29123192973626,1.34804028983887,1.21876270369282,1.33234971145078
"Донцова 2008 Инь, янь и всякая дрянь",1.05441234230612,1.12915667037346,0,0.899202270388068,1.08460440287029,1.03570513570656,1.13228333343402,1.10004620425171,0.935303111805118,0.938469073174503,0.895934339197299,1.09815815866647,0.870740601743319,0.919322303597083,1.22885131949942,1.05205852524729,0.956275994108526,1.04320449884519,0.970480336582437,1.06850291190205
"Донцова 2012 Клеопатра с парашютом",1.17376817488712,1.19969860163591,0.899202270388068,0,1.14480427212358,1.10992234625618,1.17569872815361,1.19447019095048,1.1182538254653,1.08545182729599,1.00021293467573,1.11212367148069,0.918370276952804,0.874275883362598,1.11390308198834,0.978537237763755,0.885732125061025,0.998595280642109,0.918460692617691,1.09218211289186
"Донцова 2001 Созвездие жадных псов",0.94378957285835,0.972266241344565,1.08460440287029,1.14480427212358,0,1.03484019994988,0.955073600519824,0.915037956008646,1.09869592027865,1.06357157398548,1.08186677360014,1.17893210314602,1.15367064353726,1.17359513561426,1.36028666250644,1.22164441995921,1.22585922431743,1.25038069985812,1.15132872816175,1.25916658857199
"Донцова 2003 Микстура от косоглазия",0.959632250843115,1.14707380867646,1.03570513570656,1.10992234625618,1.03484019994988,0,1.1243013778181,1.10719102588613,0.939083034655099,1.01832599409574,1.10244568986634,1.32375810785255,1.20957783892562,1.21276169335692,1.3844528184187,1.24320461604479,1.15363960883932,1.24450906467538,1.15740264211885,1.21014159578862
"Донцова 2000 Бассейн с крокодилами",1.04513610374346,0.798289066803048,1.13228333343402,1.17569872815361,0.955073600519824,1.1243013778181,0,0.832660376922984,1.20698330042267,1.14305230458103,1.23322160575371,1.31848878087517,1.22343695977452,1.20613116957003,1.44907223889958,1.29068919239675,1.27326882700821,1.32345397496642,1.25086388334354,1.31223518016428
"Донцова 2000 Спят усталые игрушки",1.04385711197494,0.853889103766825,1.10004620425171,1.19447019095048,0.915037956008646,1.10719102588613,0.832660376922984,0,1.14426258588342,1.10787438605026,1.19754649458637,1.31766681618778,1.17721913804551,1.20786935333256,1.40063456474112,1.34192575226348,1.18957599008986,1.30416638048876,1.2551086151089,1.31576750245993
"Донцова 2005 Муха в самолёте",1.04973662703578,1.23636160189732,0.935303111805118,1.1182538254653,1.09869592027865,0.939083034655099,1.20698330042267,1.14426258588342,0,0.937852948603213,1.00724887503457,1.32391379743054,1.0801005096975,1.08307694766147,1.37055234673693,1.2452766521198,1.14281530292842,1.22866594477538,1.12558427853035,1.21139529979158
"Донцова 2006 Безумная кепка Мономаха",1.07618022014114,1.2180024673668,0.938469073174503,1.08545182729599,1.06357157398548,1.01832599409574,1.14305230458103,1.10787438605026,0.937852948603213,0,1.00930829487214,1.21842907968804,1.06970663897993,1.09865979611224,1.38372417677766,1.24893407213328,1.1642051305126,1.22232066775789,1.17115913641227,1.21879981394359
"Донцова 2007 Зимнее лето весны",1.13961223757285,1.24308833285283,0.895934339197299,1.00021293467573,1.08186677360014,1.10244568986634,1.23322160575371,1.19754649458637,1.00724887503457,1.00930829487214,0,1.24641980905021,0.975236889796501,0.985979625426853,1.31640728756779,1.15043836838236,1.04148528322484,1.21158683763484,1.06912014477291,1.19643747068744
"Донцова 2017 Астральное тело холостяка",1.13548290337793,1.29393847064119,1.09815815866647,1.11212367148069,1.17893210314602,1.32375810785255,1.31848878087517,1.31766681618778,1.32391379743054,1.21842907968804,1.24641980905021,0,1.11390709147805,1.13086335205631,1.08213164883214,1.03786749748051,1.12548741720036,1.01986099985561,0.988579442763068,1.02860019489908
"Донцова 2009 Император деревни Гадюкино",1.19544706247834,1.24181199184813,0.870740601743319,0.918370276952804,1.15367064353726,1.20957783892562,1.22343695977452,1.17721913804551,1.0801005096975,1.06970663897993,0.975236889796501,1.11390709147805,0,0.821033261736198,1.1830462309171,1.02438496905203,0.887775938132953,1.06910654849734,0.981121711384204,1.09666488272242
"Донцова 2010 Страстная ночь в зоопарке",1.18663252736946,1.24242618605182,0.919322303597083,0.874275883362598,1.17359513561426,1.21276169335692,1.20613116957003,1.20786935333256,1.08307694766147,1.09865979611224,0.985979625426853,1.13086335205631,0.821033261736198,0,1.14937738886021,1.00460820567055,0.806544785177229,1.00417750505779,0.883005674062719,1.07068763428646
"Донцова 2022 Бегемот под майонезом",1.38078349785208,1.4130875214569,1.22885131949942,1.11390308198834,1.36028666250644,1.3844528184187,1.44907223889958,1.40063456474112,1.37055234673693,1.38372417677766,1.31640728756779,1.08213164883214,1.1830462309171,1.14937738886021,0,1.05638273517603,1.11602014100793,1.00161363283725,1.02164575829626,1.01760310181391
"Донцова 2015 Шуры муры с призраком",1.2768366585253,1.30072384403907,1.05205852524729,0.978537237763755,1.22164441995921,1.24320461604479,1.29068919239675,1.34192575226348,1.2452766521198,1.24893407213328,1.15043836838236,1.03786749748051,1.02438496905203,1.00460820567055,1.05638273517603,0,0.969749790867534,0.946701651176363,0.862643388591778,0.945469177213666
"Донцова 2011 Тормоза для блудного мужа",1.22632413179355,1.29123192973626,0.956275994108526,0.885732125061025,1.22585922431743,1.15363960883932,1.27326882700821,1.18957599008986,1.14281530292842,1.1642051305126,1.04148528322484,1.12548741720036,0.887775938132953,0.806544785177229,1.11602014100793,0.969749790867534,0,1.00725464148457,0.851001372937196,0.999962780734752
"Донцова 2019 Бинокль для всевидящего ока",1.2997533570469,1.34804028983887,1.04320449884519,0.998595280642109,1.25038069985812,1.24450906467538,1.32345397496642,1.30416638048876,1.22866594477538,1.22232066775789,1.21158683763484,1.01986099985561,1.06910654849734,1.00417750505779,1.00161363283725,0.946701651176363,1.00725464148457,0,0.909694108444542,0.88656264841048
"Донцова 2014 Самовар с шампанским",1.15321917899167,1.21876270369282,0.970480336582437,0.918460692617691,1.15132872816175,1.15740264211885,1.25086388334354,1.2551086151089,1.12558427853035,1.17115913641227,1.06912014477291,0.988579442763068,0.981121711384204,0.883005674062719,1.02164575829626,0.862643388591778,0.851001372937196,0.909694108444542,0,0.90374272177027
"Донцова 2019 Гиблое место в ипотеку",1.23553892967791,1.33234971145078,1.06850291190205,1.09218211289186,1.25916658857199,1.21014159578862,1.31223518016428,1.31576750245993,1.21139529979158,1.21879981394359,1.19643747068744,1.02860019489908,1.09666488272242,1.07068763428646,1.01760310181391,0.945469177213666,0.999962780734752,0.88656264841048,0.90374272177027,0
